epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3555.42,0.46292,0.50255,1.00862,0.96201,0.92666,0.97264,0.88265,0.52644,0.41794,1.01894,0.00116116,0.000387052,0.00116116,0.000387052,0.00116116,0.000387052,0.00116116,0.000387052
31,3671.02,0.46252,0.49351,1.00812,0.95008,0.92993,0.96914,0.87821,0.53659,0.41825,1.02767,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054
32,3787.49,0.46569,0.4909,1.0133,0.96654,0.91954,0.97192,0.87801,0.53717,0.42039,1.02186,0.00105317,0.000351056,0.00105317,0.000351056,0.00105317,0.000351056,0.00105317,0.000351056
33,3903.87,0.45394,0.48213,1.00566,0.95812,0.91594,0.9689,0.88051,0.52165,0.42838,1.01192,0.000999173,0.000333058,0.000999173,0.000333058,0.000999173,0.000333058,0.000999173,0.000333058
34,4019.73,0.45441,0.46139,1.00948,0.95972,0.92601,0.97256,0.87876,0.53605,0.41492,1.02049,0.000945178,0.000315059,0.000945178,0.000315059,0.000945178,0.000315059,0.000945178,0.000315059
35,4134.74,0.45525,0.46634,1.00807,0.95128,0.93223,0.97092,0.88055,0.53101,0.41781,1.02053,0.000891184,0.000297061,0.000891184,0.000297061,0.000891184,0.000297061,0.000891184,0.000297061
36,4249.82,0.44631,0.46004,0.99738,0.96067,0.92161,0.96748,0.87769,0.53962,0.42177,1.02676,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063
37,4364.83,0.44197,0.45428,0.99893,0.95694,0.93133,0.97189,0.88094,0.52975,0.40657,1.02361,0.000783194,0.000261065,0.000783194,0.000261065,0.000783194,0.000261065,0.000783194,0.000261065
38,4480.58,0.44454,0.44983,1.00063,0.95473,0.93051,0.9702,0.88266,0.51874,0.40788,1.01096,0.0007292,0.000243067,0.0007292,0.000243067,0.0007292,0.000243067,0.0007292,0.000243067
39,4596.31,0.43522,0.44275,0.9912,0.96251,0.92806,0.9742,0.88436,0.5267,0.4054,1.02028,0.000675205,0.000225068,0.000675205,0.000225068,0.000675205,0.000225068,0.000675205,0.000225068
40,4713.07,0.43129,0.43291,0.99328,0.9583,0.93387,0.97231,0.8823,0.52751,0.40533,1.02031,0.000621211,0.00020707,0.000621211,0.00020707,0.000621211,0.00020707,0.000621211,0.00020707
41,4828.97,0.37156,0.44217,0.94038,0.94836,0.93084,0.9708,0.87836,0.53699,0.41996,1.04055,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072
42,4941.73,0.34053,0.39533,0.91278,0.95652,0.92929,0.97061,0.87948,0.53087,0.41711,1.03188,0.000513221,0.000171074,0.000513221,0.000171074,0.000513221,0.000171074,0.000513221,0.000171074
43,5054.85,0.33711,0.39369,0.91505,0.96746,0.92129,0.97143,0.88116,0.52801,0.41091,1.02686,0.000459227,0.000153076,0.000459227,0.000153076,0.000459227,0.000153076,0.000459227,0.000153076
44,5166.45,0.33115,0.37583,0.90917,0.96587,0.92541,0.97151,0.88318,0.52578,0.40916,1.02803,0.000405232,0.000135077,0.000405232,0.000135077,0.000405232,0.000135077,0.000405232,0.000135077
45,5277.27,0.32642,0.37149,0.90299,0.96505,0.92202,0.97046,0.88136,0.52516,0.40487,1.02584,0.000351238,0.000117079,0.000351238,0.000117079,0.000351238,0.000117079,0.000351238,0.000117079
46,5389.39,0.3273,0.3636,0.90608,0.97423,0.91696,0.97155,0.88344,0.52392,0.40529,1.02683,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05
47,5500.52,0.3223,0.35563,0.89699,0.95719,0.9292,0.97066,0.88407,0.52422,0.40365,1.02839,0.000243248,8.10828e-05,0.000243248,8.10828e-05,0.000243248,8.10828e-05,0.000243248,8.10828e-05
48,5611.22,0.31713,0.3547,0.89717,0.95957,0.92656,0.97152,0.88303,0.52232,0.40644,1.02723,0.000189254,6.30846e-05,0.000189254,6.30846e-05,0.000189254,6.30846e-05,0.000189254,6.30846e-05
49,5722.28,0.31426,0.34861,0.89594,0.95225,0.93376,0.97158,0.88438,0.52115,0.40306,1.025,0.000135259,4.50864e-05,0.000135259,4.50864e-05,0.000135259,4.50864e-05,0.000135259,4.50864e-05
50,5832.37,0.31233,0.34749,0.89879,0.96297,0.92389,0.9718,0.88499,0.52015,0.40507,1.02371,8.12646e-05,2.70882e-05,8.12646e-05,2.70882e-05,8.12646e-05,2.70882e-05,8.12646e-05,2.70882e-05
